order_id,customer_id,product_id,quantity,order_date,region,price,revenue
1,4768,92,3,2024-09-26,Christchurch,18.61,55.83
2,958,276,4,2023-01-18,Melbourne,96.71,386.84
3,96,385,4,2024-02-09,Sydney,162.51,650.04
4,2155,284,4,2023-03-08,Wellington,145.67,582.68
5,632,48,3,2024-05-13,Sydney,257.97,773.9100000000001
6,3685,192,2,2024-01-06,Christchurch,294.16,588.32
7,1702,62,4,2023-05-25,Melbourne,105.92,423.68
8,698,234,2,2023-09-04,Auckland,454.91,909.82
9,32,100,2,2024-06-26,Wellington,153.68,307.36
10,4875,98,1,2023-10-31,Auckland,225.58,225.58
11,549,317,4,2024-03-31,Christchurch,197.88,791.52
12,2249,277,1,2024-09-21,Sydney,180.88,180.88
13,1894,73,3,2024-08-27,Sydney,107.5,322.5
14,2835,107,3,2024-02-08,Sydney,99.2,297.6
15,1704,75,1,2024-06-29,Christchurch,8.99,8.99
16,1157,51,4,2024-03-06,Melbourne,159.56,638.24
17,344,277,1,2023-05-16,Wellington,180.88,180.88
18,4073,55,4,2024-05-07,Sydney,358.77,1435.08
19,3463,212,1,2024-08-18,Christchurch,443.45,443.45
20,2249,293,2,2023-06-14,Wellington,94.22,188.44
21,945,76,3,2023-05-25,Auckland,380.53,1141.59
22,3881,416,2,2024-04-28,Melbourne,216.67,433.34
23,2051,51,4,2024-07-02,Melbourne,159.56,638.24
24,3286,310,1,2023-12-13,Christchurch,443.22,443.22
25,2856,168,4,2024-04-30,Melbourne,198.26,793.04
26,1331,452,2,2024-03-26,Christchurch,197.01,394.02
27,2004,251,2,2024-06-03,Melbourne,61.55,123.1
28,3616,157,2,2024-08-05,Wellington,65.52,131.04
29,1788,135,1,2023-06-14,Wellington,325.23,325.23
30,2247,287,4,2023-07-08,Auckland,280.69,1122.76
31,3673,485,1,2023-10-15,Wellington,302.42,302.42
32,2156,289,1,2024-10-28,Christchurch,193.94,193.94
33,3480,119,4,2023-08-22,Auckland,124.31,497.24
34,3021,287,3,2023-12-27,Auckland,280.69,842.0699999999999
35,52,448,2,2024-04-26,Christchurch,65.53,131.06
36,2160,196,3,2024-08-15,Melbourne,407.96,1223.8799999999999
37,4391,145,1,2023-01-25,Melbourne,107.27,107.27
38,3652,429,2,2023-04-28,Wellington,374.06,748.12
39,3916,278,1,2023-07-04,Melbourne,172.09,172.09
40,2113,55,2,2023-02-09,Wellington,358.77,717.54
41,2622,401,2,2023-06-08,Wellington,197.41,394.82
42,4561,490,2,2024-06-19,Christchurch,257.85,515.7
43,4730,50,3,2023-04-02,Melbourne,241.04,723.12
44,1355,383,1,2023-01-31,Auckland,339.81,339.81
45,3755,459,4,2023-10-18,Christchurch,97.72,390.88
46,210,148,2,2024-06-29,Wellington,469.37,938.74
47,238,338,2,2023-12-24,Sydney,445.71,891.42
48,336,403,3,2023-01-03,Sydney,447.42,1342.26
49,3839,327,4,2024-04-30,Melbourne,250.49,1001.96
50,1577,136,3,2024-10-07,Melbourne,279.38,838.14
51,500,327,1,2023-06-06,Auckland,250.49,250.49
52,1565,473,4,2024-11-19,Auckland,490.29,1961.16
53,791,17,2,2023-11-08,Wellington,436.87,873.74
54,3541,50,1,2023-06-13,Melbourne,241.04,241.04
55,3123,385,1,2024-09-29,Wellington,162.51,162.51
56,1136,111,1,2024-10-15,Wellington,397.75,397.75
57,3945,498,3,2024-11-30,Christchurch,12.06,36.18
58,2349,423,3,2024-01-31,Auckland,469.35,1408.0500000000002
