product_id,category,price,cost
1,Clothing,296.3,98.09
2,Electronics,270.92,171.61
3,Clothing,394.0,156.32
4,Home,280.16,197.03
5,Electronics,429.26,159.2
6,Sports,120.15,70.24
7,Sports,403.96,61.92
8,Clothing,93.76,272.36
9,Home,407.49,80.66
10,Clothing,470.53,85.73
11,Food,171.17,125.06
12,Sports,267.29,43.55
13,Electronics,330.87,153.17
14,Electronics,44.34,200.18
15,Electronics,249.57,236.23
16,Sports,183.49,214.01
17,Home,436.87,46.0
18,Sports,438.96,137.91
19,Sports,351.89,13.5
20,Electronics,329.58,7.3
21,Sports,368.18,133.16
22,Electronics,186.16,77.38
23,Home,205.24,205.64
24,Food,279.08,217.82
25,Electronics,469.32,268.83
26,Clothing,363.38,228.68
27,Food,277.74,16.38
28,Home,386.35,112.74
29,Food,188.59,83.36
30,Electronics,366.58,117.07
31,Home,208.28,49.7
32,Clothing,143.43,31.12
33,Electronics,306.81,157.25
34,Electronics,345.0,216.67
35,Home,232.35,211.17
36,Home,284.92,136.38
37,Food,348.56,157.64
38,Clothing,385.02,155.87
39,Food,448.31,208.09
40,Food,180.5,16.28
41,Electronics,475.98,213.55
42,Home,320.45,175.5
43,Electronics,394.91,61.04
44,Clothing,351.39,16.62
45,Food,106.76,34.34
46,Clothing,40.36,158.36
47,Home,364.51,228.01
48,Home,257.97,101.73
49,Sports,352.6,114.98
50,Clothing,241.04,280.38
51,Electronics,159.56,65.48
52,Clothing,146.08,32.92
53,Food,366.61,104.34
54,Home,142.01,224.28
55,Home,358.77,188.57
56,Clothing,195.06,125.91
57,Clothing,386.59,289.5
58,Clothing,75.69,221.03
59,Food,106.47,20.43
60,Food,344.53,223.9
61,Electronics,282.31,9.16
62,Clothing,105.92,195.8
63,Electronics,451.9,64.72
64,Sports,141.59,209.54
65,Food,213.43,94.31
66,Home,105.13,262.16
67,Sports,197.07,102.4
68,Home,248.37,186.67
69,Sports,151.15,87.21
70,Electronics,385.7,275.33
71,Electronics,200.0,234.74
72,Food,366.11,74.5
73,Home,107.5,284.74
74,Sports,191.63,108.43
75,Clothing,8.99,196.26
76,Clothing,380.53,223.37
77,Food,314.81,8.82
78,Home,409.82,287.77
79,Clothing,230.53,104.64
80,Food,400.87,58.55
81,Food,325.55,255.51
82,Home,6.79,211.46
83,Clothing,130.58,27.85
84,Clothing,249.48,36.88
85,Clothing,311.25,215.13
86,Electronics,37.47,24.29
87,Clothing,354.01,275.32
88,Sports,274.05,222.98
89,Electronics,265.26,101.98
90,Electronics,149.56,110.16
91,Electronics,299.44,152.94
92,Electronics,18.61,109.57
93,Food,37.03,235.47
94,Sports,368.27,292.47
95,Home,164.34,176.19
96,Clothing,176.75,134.92
97,Electronics,108.15,68.39
98,Home,225.58,196.72
99,Food,30.74,206.3
100,Home,153.68,206.19
101,Electronics,265.93,10.04
102,Sports,235.49,269.94
103,Home,499.84,102.76
104,Electronics,197.44,223.76
105,Electronics,196.56,228.42
106,Clothing,254.27,195.87
107,Clothing,99.2,119.67
108,Sports,438.77,183.3
109,Clothing,288.27,13.98
110,Sports,100.09,229.04
111,Food,397.75,31.68
112,Food,21.99,120.23
113,Clothing,491.37,32.88
114,Food,433.25,251.45
115,Home,291.92,165.99
116,Home,60.09,207.9
117,Home,111.56,205.41
118,Food,143.32,252.8
119,Home,124.31,41.51
120,Sports,251.27,198.6
121,Electronics,472.56,173.39
122,Clothing,224.87,11.21
123,Sports,332.47,62.02
124,Home,345.85,81.74
125,Electronics,436.43,23.62
126,Clothing,21.74,107.71
127,Sports,205.14,10.11
128,Clothing,393.44,166.85
129,Food,408.36,65.03
130,Home,464.03,87.53
131,Sports,352.88,273.32
132,Sports,126.35,151.84
133,Electronics,255.3,82.17
134,Electronics,21.01,180.34
135,Electronics,325.23,62.1
136,Clothing,279.38,24.17
137,Home,335.08,8.23
138,Clothing,465.42,285.56
139,Home,345.2,217.93
140,Sports,163.62,240.38
141,Clothing,103.37,294.31
142,Clothing,428.04,279.63
143,Clothing,101.19,221.6
144,Food,85.0,208.81
145,Home,107.27,102.38
146,Home,256.88,33.0
147,Clothing,66.47,172.97
148,Food,469.37,173.72
149,Clothing,483.3,285.77
150,Home,487.03,133.89
151,Sports,24.37,207.86
152,Food,473.37,173.34
